unidadEjecutora;fechaEvento;perdidaBruta;recuperacion;perdidaReconocida;detalleNivel3;detalleNivel2;detalleNivel1;causa
Unidad de Negocios Guatemala;21-mar-17;141.00;0.00;141.00;4.1.5 - Ventas agresivas;4.1 - Adecuación, divulgación de información y confianza;4 - Clientes, productos y prácticas empresariales;Personas
Unidad de Administración y Recursos Humanos;19-jul-16;1476.39;0.00;1476.39;7.4.2 - Registros incorrectos de clientes (con generación de pérdidas);7.4 - Gestión de cuentas de clientes;7 - Ejecución, entrega y gestión de procesos;Personas
Unidad de Finanzas y Contabilidad;24-mar-19;618.81;0.00;618.81;7.3.2 - Documentos jurídicos inexistentes / incompletos;7.3 - Aceptación de  clientes y documentación;7 - Ejecución, entrega y gestión de procesos;Personas
Unidad de Negocios Panamá;6-ago-19;40.79;0.00;40.79;1.2.8 - Apropiación de cuentas, de identidad, etc.;1.2 - Hurto y fraude;1 - Fraude interno;Personas
Unidad de Finanzas y Contabilidad;13-abr-16;370.56;0.00;370.56;7.1.3 - Incumplimiento de plazos o de responsabilidades;7.1 - Recepción, ejecución y mantenimiento de operaciones;7 - Ejecución, entrega y gestión de procesos;Personas
Unidad de Cumplimiento;10-nov-15;80.00;0.00;80.00;6.1.3 - Telecomunicaciones;6.1 - Sistemas;6 - Incidencias en el negocio y fallos en los sistemas;Sistemas
Unidad de Cumplimiento;15-ene-17;755.56;0.00;755.56;3.2.2 - Casos relacionados con normas higiene y seguridad de trabajo;3.2 - Higiene y seguridad en el trabajo;3 - Relaciones laborales y seguridad en el puesto de trabajo;Personas
Unidad de Cumplimiento;8-abr-17;498.69;0.00;498.69;4.2.3 - Manipulación del mercado;4.2 - Prácticas empresariales o de mercado improcedentes;4 - Clientes, productos y prácticas empresariales;Personas
Unidad de Administración y Recursos Humanos;7-feb-18;239.16;0.00;239.16;1.2.5 - Falsificación;1.2 - Hurto y fraude;1 - Fraude interno;Personas
Unidad de Operaciones;18-feb-20;35.50;0.00;35.50;7.3.2 - Documentos jurídicos inexistentes / incompletos;7.3 - Aceptación de  clientes y documentación;7 - Ejecución, entrega y gestión de procesos;Personas
Unidad de Negocios Guatemala;23-may-17;97.60;0.00;97.60;1.2.8 - Apropiación de cuentas, de identidad, etc.;1.2 - Hurto y fraude;1 - Fraude interno;Personas
Unidad de Negocios Costa Rica;14-nov-19;358.27;51.84;306.43;2.2.2 - Robo de información (con pérdidas pecuniarias);2.2 - Seguridad de los sistemas;2 - Fraude externo;Eventos externos
Unidad de Administración y Recursos Humanos;18-jul-18;690.78;0.00;690.78;3.1.1 - Cuestiones relativas a remuneración, prestaciones sociales, extinción de contratos;3.1 - Relaciones laborales;3 - Relaciones laborales y seguridad en el puesto de trabajo;Personas
Unidad de Finanzas y Contabilidad;14-feb-19;207.75;0.00;207.75;7.1.8 - Fallo en la gestión del colateral;7.1 - Recepción, ejecución y mantenimiento de operaciones;7 - Ejecución, entrega y gestión de procesos;Personas
Unidad de Negocios Nicaragua;25-may-16;395.00;0.00;395.00;1.2.9 - Incumplimiento / evasión de impuestos (intencional);1.2 - Hurto y fraude;1 - Fraude interno;Personas
Unidad de Negocios Nicaragua;30-mar-16;167.00;0.00;167.00;4.3.2 - Error de los modelos;4.3 - Productos defectuosos;4 - Clientes, productos y prácticas empresariales;Personas
Unidad de Operaciones  -Préstamos;29-sept-16;438.11;0.00;438.11;1.2.6 - Utilización de cheques sin fondos;1.2 - Hurto y fraude;1 - Fraude interno;Personas
Unidad de Calidad y Productividad;9-ago-19;229.68;0.00;229.68;2.1.2 - Falsificación;2.1 - Hurto y fraude;2 - Fraude externo;Eventos externos
Unidad de Operaciones  -Préstamos;14-may-16;697.27;0.00;697.27;2.2.1 - Daños por ataques informáticos;2.2 - Seguridad de los sistemas;2 - Fraude externo;Eventos externos
Unidad de Proyectos;28-may-19;260.21;0.00;260.21;7.1.4 - Ejecución errónea de modelos / sistemas;7.1 - Recepción, ejecución y mantenimiento de operaciones;7 - Ejecución, entrega y gestión de procesos;Personas
Unidad de Proyectos;8-ene-19;193.29;0.00;193.29;1.2.8 - Apropiación de cuentas, de identidad, etc.;1.2 - Hurto y fraude;1 - Fraude interno;Personas
Unidad de Auditoría Interna;12-feb-18;466.22;0.00;466.22;1.2.3 - Valoración errónea de posiciones (intencional);1.1 - Actividades no autorizadas;1 - Fraude interno;Personas
Unidad de Administración y Recursos Humanos;1-jul-15;1144.24;0.00;1144.24;2.2.2 - Robo de información (con pérdidas pecuniarias);2.2 - Seguridad de los sistemas;2 - Fraude externo;Eventos externos
Unidad de Riesgos;17-oct-15;257.59;0.00;257.59;7.4.3 - Pérdida o daño de activos de clientes por negligencia;7.4 - Gestión de cuentas de clientes;7 - Ejecución, entrega y gestión de procesos;Personas
Unidad de Finanzas y Contabilidad;27-ago-19;347.00;0.00;347.00;6.1.3 - Telecomunicaciones;6.1 - Sistemas;6 - Incidencias en el negocio y fallos en los sistemas;Sistemas
Unidad de Finanzas y Contabilidad;26-may-17;119.00;0.00;119.00;7.1.3 - Incumplimiento de plazos o de responsabilidades;7.1 - Recepción, ejecución y mantenimiento de operaciones;7 - Ejecución, entrega y gestión de procesos;Personas
Unidad de Proyectos;29-abr-16;320.68;0.00;320.68;7.4.3 - Pérdida o daño de activos de clientes por negligencia;7.4 - Gestión de cuentas de clientes;7 - Ejecución, entrega y gestión de procesos;Personas
Unidad de Tecnología;22-may-19;418.34;0.00;418.34;7.1.3 - Incumplimiento de plazos o de responsabilidades;7.1 - Recepción, ejecución y mantenimiento de operaciones;7 - Ejecución, entrega y gestión de procesos;Personas
Unidad de Operaciones;29-oct-19;119.74;0.00;119.74;2.1.2 - Falsificación;2.1 - Hurto y fraude;2 - Fraude externo;Eventos externos
Unidad de Calidad y Productividad;29-abr-15;50.62;0.00;50.62;4.5.1 - Litigios sobre resultados de las actividades de asesoramiento;4.5 - Actividades de asesoramiento;4 - Clientes, productos y prácticas empresariales;Personas
Unidad de Negocios Guatemala;17-sept-16;174.83;0.00;174.83;3.2.3 - Indemnización a los trabajadores;3.2 - Higiene y seguridad en el trabajo;3 - Relaciones laborales y seguridad en el puesto de trabajo;Personas
Unidad de Finanzas y Contabilidad;8-sept-16;221.46;0.00;221.46;7.1.6 - Errores en otras tareas;7.1 - Recepción, ejecución y mantenimiento de operaciones;7 - Ejecución, entrega y gestión de procesos;Personas
Unidad de Calidad y Productividad;23-sept-18;74.71;0.00;74.71;7.6.2 - Litigios con distribuidores;7.6 - Distribuidores y proveedores;7 - Ejecución, entrega y gestión de procesos;Personas
Unidad de Negocios El Salvador;19-jul-19;91.58;0.00;91.58;3.1.1 - Cuestiones relativas a remuneración, prestaciones sociales, extinción de contratos;3.1 - Relaciones laborales;3 - Relaciones laborales y seguridad en el puesto de trabajo;Personas
Unidad de Calidad y Productividad;3-abr-16;356.96;51.61;305.35;3.1.1 - Cuestiones relativas a remuneración, prestaciones sociales, extinción de contratos;3.1 - Relaciones laborales;3 - Relaciones laborales y seguridad en el puesto de trabajo;Personas
Unidad de Negocios Nicaragua;29-ene-20;931.39;0.00;931.39;1.2.5 - Falsificación;1.2 - Hurto y fraude;1 - Fraude interno;Personas
Unidad de Finanzas y Contabilidad;19-oct-15;72.74;72.74;0.00;1.2.5 - Falsificación;1.2 - Hurto y fraude;1 - Fraude interno;Personas
Unidad de Finanzas y Contabilidad;23-may-19;514.29;100.61;413.68;7.1.1 - Comunicación defectuosa;7.1 - Recepción, ejecución y mantenimiento de operaciones;7 - Ejecución, entrega y gestión de procesos;Personas
Unidad de Finanzas y Contabilidad;6-abr-16;8.11;0.00;8.11;4.2.2 - Prácticas comerciales / de mercado improcedentes;4.2 - Prácticas empresariales o de mercado improcedentes;4 - Clientes, productos y prácticas empresariales;Personas
Unidad de Operaciones  -Préstamos;19-sept-15;533.00;0.00;533.00;2.1.1 - Hurto/ robo;2.1 - Hurto y fraude;2 - Fraude externo;Eventos externos
Unidad de Negocios Nicaragua;22-ago-17;161.12;0.00;161.12;2.1.3 - Utilización de cheques sin fondos;2.1 - Hurto y fraude;2 - Fraude externo;Eventos externos
Unidad Legal;4-nov-16;122.21;14.52;107.69;4.4.1 - Ausencia de investigación a clientes conforme a las directrices;4.4 - Selección, patrocinio y riesgos;4 - Clientes, productos y prácticas empresariales;Personas
Unidad de Negocios Panamá;18-jun-19;1330.47;0.00;1330.47;1.2.3 - Valoración errónea de posiciones (intencional);1.1 - Actividades no autorizadas;1 - Fraude interno;Personas
Unidad de Operaciones;2-jun-15;249.15;0.00;249.15;5.1.2 - Pérdidas humanas por causas externas (terrorismo, vandalismo);5.1 - Desastres y otros acontecimientos;5 - Daños a activos materiales;Personas
Unidad de Operaciones  -Préstamos;28-ago-15;171.54;0.00;171.54;7.2.2 - Inexactitud de informes externos (con generación de pérdidas);7.2 - Seguimiento y presentación de informes;7 - Ejecución, entrega y gestión de procesos;Personas
Unidad de Finanzas y Contabilidad;15-abr-16;126.67;0.00;126.67;7.1.7 - Fallo en la entrega;7.1 - Recepción, ejecución y mantenimiento de operaciones;7 - Ejecución, entrega y gestión de procesos;Personas
Unidad de Cumplimiento;27-jun-19;577.85;176.87;400.98;4.4.1 - Ausencia de investigación a clientes conforme a las directrices;4.4 - Selección, patrocinio y riesgos;4 - Clientes, productos y prácticas empresariales;Personas
Unidad de Negocios Costa Rica;17-feb-19;613.58;0.00;613.58;1.2.5 - Falsificación;1.2 - Hurto y fraude;1 - Fraude interno;Personas
Unidad de Administración y Recursos Humanos;19-jul-17;104.02;0.00;104.02;7.1.8 - Fallo en la gestión del colateral;7.1 - Recepción, ejecución y mantenimiento de operaciones;7 - Ejecución, entrega y gestión de procesos;Personas
Unidad de Cumplimiento;18-may-19;352.31;0.00;352.31;3.1.1 - Cuestiones relativas a remuneración, prestaciones sociales, extinción de contratos;3.1 - Relaciones laborales;3 - Relaciones laborales y seguridad en el puesto de trabajo;Personas
Unidad de Finanzas y Contabilidad;16-feb-16;198.95;115.51;83.44;4.2.4 - Actividades no autorizadas;4.2 - Prácticas empresariales o de mercado improcedentes;4 - Clientes, productos y prácticas empresariales;Personas
Unidad de Negocios Corporativa;31-ago-19;177.59;177.59;0.00;7.6.1 - Subcontratación;7.6 - Distribuidores y proveedores;7 - Ejecución, entrega y gestión de procesos;Personas
Unidad de Finanzas y Contabilidad;13-sept-19;736.48;0.00;736.48;4.1.7 - Abuso de información confidencial;4.1 - Adecuación, divulgación de información y confianza;4 - Clientes, productos y prácticas empresariales;Personas
Unidad de Finanzas y Contabilidad;4-jun-16;281.85;0.00;281.85;1.2.7 - Contrabando;1.2 - Hurto y fraude;1 - Fraude interno;Personas
Unidad de Finanzas y Contabilidad;19-oct-17;75.96;0.00;75.96;1.1.2 - Operaciones no autorizadas (con pérdidas pecuniarias);1.1 - Actividades no autorizadas;1 - Fraude interno;Personas
Unidad de Operaciones;10-abr-15;452.75;0.00;452.75;1.2.1 - Fraude / fraude crediticio/ depósitos sin valor;1.2 - Hurto y fraude;1 - Fraude interno;Personas
Unidad de Cumplimiento;16-mar-16;191.17;0.00;191.17;7.6.2 - Litigios con distribuidores;7.6 - Distribuidores y proveedores;7 - Ejecución, entrega y gestión de procesos;Personas
Unidad de Administración y Recursos Humanos;6-ene-16;161.82;0.00;161.82;4.1.3 - Quebrantamiento de la privacidad de información sobre clientes minoristas;4.1 - Adecuación, divulgación de información y confianza;4 - Clientes, productos y prácticas empresariales;Personas
Unidad de Finanzas y Contabilidad;17-jul-18;69.46;0.00;69.46;1.2.6 - Utilización de cheques sin fondos;1.2 - Hurto y fraude;1 - Fraude interno;Personas
Unidad de Riesgos;12-oct-19;289.42;0.00;289.42;3.3.1 - Todo tipo de discriminación;3.3 - Diversidad y discriminación;3 - Relaciones laborales y seguridad en el puesto de trabajo;Personas
Unidad de Operaciones;27-jul-17;454.15;0.00;454.15;4.2.1 - Prácticas restrictivas de la competencia;4.2 - Prácticas empresariales o de mercado improcedentes;4 - Clientes, productos y prácticas empresariales;Personas
Unidad de Negocios Corporativa;13-ago-18;793.10;0.00;793.10;4.2.3 - Manipulación del mercado;4.2 - Prácticas empresariales o de mercado improcedentes;4 - Clientes, productos y prácticas empresariales;Personas
Unidad de Calidad y Productividad;16-feb-18;273.47;0.00;273.47;1.2.9 - Incumplimiento / evasión de impuestos (intencional);1.2 - Hurto y fraude;1 - Fraude interno;Personas
Unidad de Finanzas y Contabilidad;20-may-17;950.17;0.00;950.17;4.1.3 - Quebrantamiento de la privacidad de información sobre clientes minoristas;4.1 - Adecuación, divulgación de información y confianza;4 - Clientes, productos y prácticas empresariales;Personas
Unidad de Negocios Nicaragua;3-jun-16;1710.00;0.00;1710.00;3.2.3 - Indemnización a los trabajadores;3.2 - Higiene y seguridad en el trabajo;3 - Relaciones laborales y seguridad en el puesto de trabajo;Personas
Unidad Legal;28-sept-19;170.26;0.00;170.26;2.1.1 - Hurto/ robo;2.1 - Hurto y fraude;2 - Fraude externo;Eventos externos
Unidad de Administración y Recursos Humanos;25-may-15;89.73;0.00;89.73;1.2.5 - Falsificación;1.2 - Hurto y fraude;1 - Fraude interno;Personas
Unidad de Finanzas y Contabilidad;5-dic-18;242.52;0.00;242.52;7.4.2 - Registros incorrectos de clientes (con generación de pérdidas);7.4 - Gestión de cuentas de clientes;7 - Ejecución, entrega y gestión de procesos;Personas
Unidad de Auditoría Interna;13-abr-17;543.63;0.00;543.63;4.1.7 - Abuso de información confidencial;4.1 - Adecuación, divulgación de información y confianza;4 - Clientes, productos y prácticas empresariales;Personas
Unidad de Riesgos;6-dic-16;176.86;0.00;176.86;4.1.2 - Aspectos de adecuación/divulgación información;4.1 - Adecuación, divulgación de información y confianza;4 - Clientes, productos y prácticas empresariales;Personas
Unidad de Negocios El Salvador;29-feb-16;347.46;0.00;347.46;7.6.2 - Litigios con distribuidores;7.6 - Distribuidores y proveedores;7 - Ejecución, entrega y gestión de procesos;Personas
Unidad de Auditoría Interna;6-ago-17;159.31;0.00;159.31;7.1.9 - Mantenimiento de datos de referencia;7.1 - Recepción, ejecución y mantenimiento de operaciones;7 - Ejecución, entrega y gestión de procesos;Personas
Unidad de Negocios Guatemala;12-abr-18;75.82;0.00;75.82;7.1.5 - Error contable / atribución a entidades erróneas;7.1 - Recepción, ejecución y mantenimiento de operaciones;7 - Ejecución, entrega y gestión de procesos;Personas
Unidad de Operaciones;15-nov-15;824.25;0.00;824.25;7.6.2 - Litigios con distribuidores;7.6 - Distribuidores y proveedores;7 - Ejecución, entrega y gestión de procesos;Personas
Unidad de Negocios Panamá;31-may-16;114.95;0.00;114.95;4.3.2 - Error de los modelos;4.3 - Productos defectuosos;4 - Clientes, productos y prácticas empresariales;Personas
Unidad de Operaciones  -Préstamos;13-oct-18;110.82;0.00;110.82;2.1.3 - Utilización de cheques sin fondos;2.1 - Hurto y fraude;2 - Fraude externo;Eventos externos
Unidad Legal;14-feb-16;236.03;0.00;236.03;2.1.2 - Falsificación;2.1 - Hurto y fraude;2 - Fraude externo;Eventos externos
Unidad de Proyectos;14-jun-17;748.00;0.00;748.00;1.1.1 - Operaciones no reveladas (intencionalmente);1.1 - Actividades no autorizadas;1 - Fraude interno;Personas
Unidad de Negocios Costa Rica;20-nov-15;94.60;0.00;94.60;4.1.2 - Aspectos de adecuación/divulgación información;4.1 - Adecuación, divulgación de información y confianza;4 - Clientes, productos y prácticas empresariales;Personas
Unidad de Tecnología;23-may-15;204.00;0.00;204.00;6.1.2 - Software;6.1 - Sistemas;6 - Incidencias en el negocio y fallos en los sistemas;Sistemas
Unidad de Finanzas y Contabilidad;13-ago-15;102.75;0.00;102.75;7.1.9 - Mantenimiento de datos de referencia;7.1 - Recepción, ejecución y mantenimiento de operaciones;7 - Ejecución, entrega y gestión de procesos;Personas
Unidad de Finanzas y Contabilidad;2-oct-16;450.96;0.00;450.96;4.2.5 - Blanqueo de dinero;4.2 - Prácticas empresariales o de mercado improcedentes;4 - Clientes, productos y prácticas empresariales;Personas
Unidad de Riesgos;28-ene-19;276.23;54.07;222.16;1.2.3 - Valoración errónea de posiciones (intencional);1.1 - Actividades no autorizadas;1 - Fraude interno;Personas
Unidad de Negocios El Salvador;15-dic-15;237.59;0.00;237.59;2.2.2 - Robo de información (con pérdidas pecuniarias);2.2 - Seguridad de los sistemas;2 - Fraude externo;Eventos externos
Unidad de Calidad y Productividad;9-nov-17;168.04;0.00;168.04;7.1.8 - Fallo en la gestión del colateral;7.1 - Recepción, ejecución y mantenimiento de operaciones;7 - Ejecución, entrega y gestión de procesos;Personas
Unidad de Negocios El Salvador;17-mar-15;204.79;0.00;204.79;7.1.8 - Fallo en la gestión del colateral;7.1 - Recepción, ejecución y mantenimiento de operaciones;7 - Ejecución, entrega y gestión de procesos;Personas
Unidad de Administración y Recursos Humanos;28-may-15;75.00;0.00;75.00;6.1.2 - Software;6.1 - Sistemas;6 - Incidencias en el negocio y fallos en los sistemas;Sistemas
Unidad de Operaciones;23-jun-17;88.54;0.00;88.54;3.1.2 - Organización laboral;3.1 - Relaciones laborales;3 - Relaciones laborales y seguridad en el puesto de trabajo;Personas
Unidad de Calidad y Productividad;17-mar-17;165.03;0.00;165.03;7.6.1 - Subcontratación;7.6 - Distribuidores y proveedores;7 - Ejecución, entrega y gestión de procesos;Personas
Unidad de Operaciones  -Préstamos;12-mar-16;110.00;0.00;110.00;4.3.1 - Defectos del producto (no autorizado, etc.);4.3 - Productos defectuosos;4 - Clientes, productos y prácticas empresariales;Personas
Unidad de Finanzas y Contabilidad;3-ago-18;740.58;0.00;740.58;1.2.3 - Valoración errónea de posiciones (intencional);1.1 - Actividades no autorizadas;1 - Fraude interno;Personas
Unidad de Operaciones;3-sept-16;36.00;0.00;36.00;6.1.3 - Telecomunicaciones;6.1 - Sistemas;6 - Incidencias en el negocio y fallos en los sistemas;Sistemas
Unidad de Cumplimiento;12-jul-19;211.42;0.00;211.42;7.1.9 - Mantenimiento de datos de referencia;7.1 - Recepción, ejecución y mantenimiento de operaciones;7 - Ejecución, entrega y gestión de procesos;Personas
Unidad de Cumplimiento;30-may-18;1400.00;0.00;1400.00;1.1.1 - Operaciones no reveladas (intencionalmente);1.1 - Actividades no autorizadas;1 - Fraude interno;Personas
Unidad Legal;20-ene-17;392.93;0.00;392.93;5.1.2 - Pérdidas humanas por causas externas (terrorismo, vandalismo);5.1 - Desastres y otros acontecimientos;5 - Daños a activos materiales;Personas
Unidad de Negocios Nicaragua;2-oct-17;330.54;0.00;330.54;4.1.2 - Aspectos de adecuación/divulgación información;4.1 - Adecuación, divulgación de información y confianza;4 - Clientes, productos y prácticas empresariales;Personas
Unidad de Operaciones  -Préstamos;3-jun-15;271.71;0.00;271.71;7.2.1 - Incumplimiento de la obligación de informar;7.2 - Seguimiento y presentación de informes;7 - Ejecución, entrega y gestión de procesos;Personas
Unidad de Operaciones  -Préstamos;10-may-16;154.78;0.00;154.78;4.1.2 - Aspectos de adecuación/divulgación información;4.1 - Adecuación, divulgación de información y confianza;4 - Clientes, productos y prácticas empresariales;Personas
Unidad de Proyectos;6-dic-15;120.40;0.00;120.40;7.2.2 - Inexactitud de informes externos (con generación de pérdidas);7.2 - Seguimiento y presentación de informes;7 - Ejecución, entrega y gestión de procesos;Personas
Unidad de Tecnología;13-jun-15;446.03;0.00;446.03;7.2.2 - Inexactitud de informes externos (con generación de pérdidas);7.2 - Seguimiento y presentación de informes;7 - Ejecución, entrega y gestión de procesos;Personas
Unidad de Administración y Recursos Humanos;12-abr-15;844.04;0.00;844.04;2.2.1 - Daños por ataques informáticos;2.2 - Seguridad de los sistemas;2 - Fraude externo;Eventos externos
Unidad de Operaciones;4-sept-17;409.52;0.00;409.52;7.5.2 - Otros litigios con contrapartes distintas de clientes;7.5 - Contrapartes comerciales;7 - Ejecución, entrega y gestión de procesos;Personas
Unidad de Calidad y Productividad;1-ago-18;411.09;0.00;411.09;2.1.2 - Falsificación;2.1 - Hurto y fraude;2 - Fraude externo;Eventos externos
Unidad de Finanzas y Contabilidad;29-abr-15;427.42;0.00;427.42;4.1.5 - Ventas agresivas;4.1 - Adecuación, divulgación de información y confianza;4 - Clientes, productos y prácticas empresariales;Personas
Unidad Legal;28-feb-20;504.51;0.00;504.51;7.4.2 - Registros incorrectos de clientes (con generación de pérdidas);7.4 - Gestión de cuentas de clientes;7 - Ejecución, entrega y gestión de procesos;Personas
Unidad de Calidad y Productividad;19-abr-15;561.56;0.00;561.56;7.2.1 - Incumplimiento de la obligación de informar;7.2 - Seguimiento y presentación de informes;7 - Ejecución, entrega y gestión de procesos;Personas
Unidad de Cumplimiento;28-nov-15;185.97;0.00;185.97;7.1.5 - Error contable / atribución a entidades erróneas;7.1 - Recepción, ejecución y mantenimiento de operaciones;7 - Ejecución, entrega y gestión de procesos;Personas
Unidad Legal;14-dic-18;942.72;0.00;942.72;7.3.2 - Documentos jurídicos inexistentes / incompletos;7.3 - Aceptación de  clientes y documentación;7 - Ejecución, entrega y gestión de procesos;Personas
Unidad de Negocios Corporativa;9-nov-15;221.13;0.00;221.13;1.2.1 - Fraude / fraude crediticio/ depósitos sin valor;1.2 - Hurto y fraude;1 - Fraude interno;Personas
Unidad de Cumplimiento;14-may-19;105.38;0.00;105.38;4.1.1 - Abusos de confianza / incumplimiento de pautas;4.1 - Adecuación, divulgación de información y confianza;4 - Clientes, productos y prácticas empresariales;Personas
Unidad de Negocios Corporativa;3-jul-15;495.01;0.00;495.01;1.2.5 - Falsificación;1.2 - Hurto y fraude;1 - Fraude interno;Personas
Unidad de Negocios Guatemala;9-jul-16;264.57;0.00;264.57;4.3.1 - Defectos del producto (no autorizado, etc.);4.3 - Productos defectuosos;4 - Clientes, productos y prácticas empresariales;Personas
Unidad de Administración y Recursos Humanos;30-abr-15;156.70;76.33;80.37;7.6.2 - Litigios con distribuidores;7.6 - Distribuidores y proveedores;7 - Ejecución, entrega y gestión de procesos;Personas
Unidad de Cumplimiento;23-jun-15;244.11;0.00;244.11;7.1.2 - Errores de introducción de datos, mantenimiento o descarga;7.1 - Recepción, ejecución y mantenimiento de operaciones;7 - Ejecución, entrega y gestión de procesos;Personas
Unidad de Finanzas y Contabilidad;16-jul-19;139.00;0.00;139.00;1.2.1 - Fraude / fraude crediticio/ depósitos sin valor;1.2 - Hurto y fraude;1 - Fraude interno;Personas
Unidad de Finanzas y Contabilidad;24-ene-18;220.30;0.00;220.30;2.2.2 - Robo de información (con pérdidas pecuniarias);2.2 - Seguridad de los sistemas;2 - Fraude externo;Eventos externos
Unidad de Finanzas y Contabilidad;3-ene-19;142.87;0.00;142.87;7.3.1 - Inexistencia de autorizaciones / rechazos de clientes;7.3 - Aceptación de  clientes y documentación;7 - Ejecución, entrega y gestión de procesos;Personas
Unidad de Finanzas y Contabilidad;15-dic-15;180.20;0.00;180.20;1.2.4 - Destrucción dolosa de activos;1.2 - Hurto y fraude;1 - Fraude interno;Personas
Unidad de Finanzas y Contabilidad;18-oct-18;15.00;0.00;15.00;6.1.2 - Software;6.1 - Sistemas;6 - Incidencias en el negocio y fallos en los sistemas;Sistemas
Unidad de Finanzas y Contabilidad;28-mar-19;163.07;0.00;163.07;1.1.1 - Operaciones no reveladas (intencionalmente);1.1 - Actividades no autorizadas;1 - Fraude interno;Personas
Unidad de Cumplimiento;25-jun-18;98.25;0.00;98.25;1.2.2 - Hurto / extorsión / malversación / robo;1.2 - Hurto y fraude;1 - Fraude interno;Personas
Unidad de Administración y Recursos Humanos;20-abr-19;168.27;0.00;168.27;4.4.2 - Superación de los límites de riesgo frente a clientes;4.4 - Selección, patrocinio y riesgos;4 - Clientes, productos y prácticas empresariales;Personas
Unidad de Tecnología;11-oct-19;406.75;0.00;406.75;7.1.3 - Incumplimiento de plazos o de responsabilidades;7.1 - Recepción, ejecución y mantenimiento de operaciones;7 - Ejecución, entrega y gestión de procesos;Personas
Unidad de Riesgos;25-dic-15;394.09;0.00;394.09;7.1.2 - Errores de introducción de datos, mantenimiento o descarga;7.1 - Recepción, ejecución y mantenimiento de operaciones;7 - Ejecución, entrega y gestión de procesos;Personas
Unidad de Negocios Corporativa;11-nov-17;96.43;0.00;96.43;1.2.4 - Destrucción dolosa de activos;1.2 - Hurto y fraude;1 - Fraude interno;Personas
Unidad de Operaciones;15-sept-17;77.05;0.00;77.05;7.1.7 - Fallo en la entrega;7.1 - Recepción, ejecución y mantenimiento de operaciones;7 - Ejecución, entrega y gestión de procesos;Personas
Unidad de Operaciones;13-feb-20;644.40;261.75;382.65;4.2.3 - Manipulación del mercado;4.2 - Prácticas empresariales o de mercado improcedentes;4 - Clientes, productos y prácticas empresariales;Personas
Unidad de Administración y Recursos Humanos;16-ene-20;149.73;0.00;149.73;4.5.1 - Litigios sobre resultados de las actividades de asesoramiento;4.5 - Actividades de asesoramiento;4 - Clientes, productos y prácticas empresariales;Personas
Unidad de Calidad y Productividad;15-feb-18;186.39;0.00;186.39;7.6.1 - Subcontratación;7.6 - Distribuidores y proveedores;7 - Ejecución, entrega y gestión de procesos;Personas
Unidad de Administración y Recursos Humanos;5-ene-17;107.85;0.00;107.85;1.2.9 - Incumplimiento / evasión de impuestos (intencional);1.2 - Hurto y fraude;1 - Fraude interno;Personas
Unidad de Tecnología;3-abr-18;526.62;0.00;526.62;4.1.5 - Ventas agresivas;4.1 - Adecuación, divulgación de información y confianza;4 - Clientes, productos y prácticas empresariales;Personas
Unidad de Administración y Recursos Humanos;27-sept-15;100.59;0.00;100.59;7.6.1 - Subcontratación;7.6 - Distribuidores y proveedores;7 - Ejecución, entrega y gestión de procesos;Personas
Unidad de Administración y Recursos Humanos;25-jul-16;197.57;0.00;197.57;2.1.3 - Utilización de cheques sin fondos;2.1 - Hurto y fraude;2 - Fraude externo;Eventos externos
Unidad Legal;25-oct-18;95.03;0.00;95.03;1.2.9 - Incumplimiento / evasión de impuestos (intencional);1.2 - Hurto y fraude;1 - Fraude interno;Personas
Unidad de Auditoría Interna;23-oct-18;645.87;0.00;645.87;4.1.2 - Aspectos de adecuación/divulgación información;4.1 - Adecuación, divulgación de información y confianza;4 - Clientes, productos y prácticas empresariales;Personas
Unidad de Operaciones  -Préstamos;31-ene-17;122.26;0.00;122.26;7.1.8 - Fallo en la gestión del colateral;7.1 - Recepción, ejecución y mantenimiento de operaciones;7 - Ejecución, entrega y gestión de procesos;Personas
Unidad de Administración y Recursos Humanos;22-jun-16;304.40;0.00;304.40;4.2.2 - Prácticas comerciales / de mercado improcedentes;4.2 - Prácticas empresariales o de mercado improcedentes;4 - Clientes, productos y prácticas empresariales;Personas
Unidad de Negocios Costa Rica;2-abr-16;217.35;0.00;217.35;1.2.3 - Valoración errónea de posiciones (intencional);1.1 - Actividades no autorizadas;1 - Fraude interno;Personas
Unidad de Riesgos;22-mar-17;188.74;0.00;188.74;7.3.2 - Documentos jurídicos inexistentes / incompletos;7.3 - Aceptación de  clientes y documentación;7 - Ejecución, entrega y gestión de procesos;Personas
Unidad de Negocios El Salvador;18-nov-15;10.00;0.00;10.00;7.6.1 - Subcontratación;7.6 - Distribuidores y proveedores;7 - Ejecución, entrega y gestión de procesos;Personas
Unidad de Cumplimiento;17-feb-17;874.82;0.00;874.82;4.1.7 - Abuso de información confidencial;4.1 - Adecuación, divulgación de información y confianza;4 - Clientes, productos y prácticas empresariales;Personas
Unidad de Operaciones;3-sept-17;886.26;0.00;886.26;7.6.1 - Subcontratación;7.6 - Distribuidores y proveedores;7 - Ejecución, entrega y gestión de procesos;Personas
Unidad de Cumplimiento;23-feb-17;863.68;0.00;863.68;7.4.2 - Registros incorrectos de clientes (con generación de pérdidas);7.4 - Gestión de cuentas de clientes;7 - Ejecución, entrega y gestión de procesos;Personas
